name,god,rarity,effect
Aphrodite's Aid,Aphrodite,Core,Your Call fires a seeking projectile that inflicts Charm.
Blown Kiss,Aphrodite,Core,Your Cast shoots farther and is stronger against undamaged foes.
Broken Resolve,Aphrodite,Core,Your Weak effects are more potent.
Crush Shot,Aphrodite,Core,"Your Cast is a wide, short-range blast that inflicts Weak."
Different League,Aphrodite,Core,Resist some damage from nearby foes' attacks.
Dying Lament,Aphrodite,Core,"When foes are slain, they damage nearby foes and inflict Weak."
Empty Inside,Aphrodite,Core,Your Weak effects have a longer duration.
Heartbreak Flourish,Aphrodite,Core,Your Special deals more damage and inflicts Weak.
Heartbreak Strike,Aphrodite,Core,Your Attack deals more damage and inflicts Weak.
Life Affirmation,Aphrodite,Core,Any {!Icons.HealthUp_Small} chamber rewards are worth more.
Passion Dash,Aphrodite,Core,"Your Dash deals damage where you end up, inflicting Weak."
Passion Flare,Aphrodite,Core,Your Cast damages foes around you and inflicts Weak.
Sweet Surrender,Aphrodite,Core,Weak-afflicted foes are also more susceptible to damage.
Wave of Despair,Aphrodite,Core,"After you take damage, damage foes around you and inflict Weak."
Ares' Aid,Ares,Core,Your Call turns you into an Impervious Blade Rift for # Sec.
Battle Rage,Ares,Core,"After slaying a foe, your next Attack or Special deals more damage."
Black Metal,Ares,Core,Your Blade Rift effects deal damage in a wider area.
Blade Dash,Ares,Core,Your Dash creates a Blade Rift where you started.
Blood Frenzy,Ares,Core,"After using Death Defiance, deal more damage that Encounter(s)."
Curse of Agony,Ares,Core,Your Attack inflicts Doom.
Curse of Pain,Ares,Core,Your Special inflicts Doom.
Curse of Vengeance,Ares,Core,"After you take damage, inflict Doom on foes around you."
Dire Misfortune,Ares,Core,Your Doom effects deal more damage when applied multiple times.
Engulfing Vortex,Ares,Core,Your Blade Rift effects last longer and pull foes in.
Impending Doom,Ares,Core,"Your Doom effects deal more damage, but take +# Sec. to activate."
Slicing Flare,Ares,Core,Your Cast sends a large Blade Rift hurtling ahead for a brief time.
Slicing Shot,Ares,Core,Your Cast sends a Blade Rift hurtling ahead.
Urge to Kill,Ares,Core,"Your Attack, Special, and Cast deal more damage."
Artemis' Aid,Artemis,Core,Your Call fires a seeking arrow with #  Critical chance.
Clean Kill,Artemis,Core,Your Critical effects deal even more damage.
Deadly Flourish,Artemis,Core,"Your Special is stronger, with #  chance to deal Critical damage."
Deadly Strike,Artemis,Core,"Your Attack is stronger, with #  chance to deal Critical damage."
Exit Wounds,Artemis,Core,Your foes take damage when your Bloodstones stuck in them is dislodged.
Hide Breaker,Artemis,Core,Your Critical effects deal even more damage to Armor.
Hunter Dash,Artemis,Core,Your Dash-Strike deals more damage.
Hunter Instinct,Artemis,Core,Your God Gauge charges up faster when you deal Critical damage.
Hunter's Flare,Artemis,Core,"Your Cast damages foes around you, with a # Critical chance."
Hunter's Mark,Artemis,Core,"After you deal Critical damage to a foe, a foe near it is Marked."
Pressure Points,Artemis,Core,Any damage you deal has a chance to be Critical.
Support Fire,Artemis,Core,"After you Cast, or hit with an Attack or Special, fire a seeking arrow."
True Shot,Artemis,Core,"Your Cast seeks foes, with #  chance to deal Critical damage."
Athena's Aid,Athena,Core,Your Call briefly makes you Impervious and Deflect all attacks.
Blinding Flash,Athena,Core,Your abilities that can Deflect also make foes Exposed.
Brilliant Riposte,Athena,Core,"When you Deflect attacks, it deals more damage."
Bronze Skin,Athena,Core,Resist damage from foes' attacks.
Divine Dash,Athena,Core,Your Dash deals damage and can Deflect.
Divine Flourish,Athena,Core,"Your Special is stronger, and can Deflect."
Divine Strike,Athena,Core,"Your Attack is stronger, and can Deflect."
Holy Shield,Athena,Core,"After you take damage, damage foes around you and briefly Deflect."
