name,category,rarity,effect
Sphinx,quintessence,Common,Decreases incoming damage by 15%. Makes you immune to trap damage for 10 seconds
Dwarf,quintessence,Common,Increases Crit Rate by 5%. Increases Basic Attack by 20% for 10 seconds
Slime,quintessence,Common,Increases Max HP by 20. Become invincible for 1 second
Face Bug,quintessence,Common,Increases Physical and Magic Attack by 15%. Throws a Face Bug to stun the enemy
Pegasus,quintessence,Common,Movement Speed increased by 7%. Fly forward quickly
Yeti,quintessence,Common,Increases Max HP by 25. Throws a yeti's snowball inflicting freeze
Kobold,quintessence,Common,Increases Physical Attack by 20%. Strikes an enemy with a pickaxe
Unstable Quintessence,quintessence,Common,Increases Physical and Magic Attack by 15%. Creates an explosion
Mana Golem,quintessence,Rare,Decreases incoming damage by 20%. Creates a mana explosion
Medusa,quintessence,Rare,Increases Skill Cooldown Speed by 40%. Deals Magic Damage and slows time
Orc,quintessence,Rare,Basic Attack increased by 15%. Attack and damage increased by 100%
Cyclops,quintessence,Rare,Max HP +40. Gains a shield of 20 for 6 seconds
Gryphon,quintessence,Rare,Increases Movement Speed by 20%. Creates a storm
Ifrit,quintessence,Rare,Unleashes flame dealing Magic Damage and inflicting burn
Harpy,quintessence,Rare,Increases Attack Speed by 30%. Increases Speed by 30% and Movement by 50%
Kiliban,quintessence,Rare,Increases Movement Speed by 30%. Throws sword for teleport
Centauros,quintessence,Rare,Increases Physical Attack by 30%. Throws spear inflicting bleed
Naias,quintessence,Rare,Increases Max HP by 40. Fires 4 ice bolts inflicting freeze
Succubus,quintessence,Rare,Increases Crit Rate by 10%. Charms nearby enemies
Imp,quintessence,Unique,Cooldown Speed increased by 15%. Summons imps shooting fireballs
Weapon Master,quintessence,Unique,Increases Physical Attack by 45%. Arsenal materializes and charges
Flame Dragon,quintessence,Unique,Increases Physical and Magic Attack by 30%. Spews powerful flame
Evil Eye,quintessence,Unique,Increases Magic Attack by 65%. Blinks dealing Magic Damage and stunning
Evil Spirit,quintessence,Unique,Increases Attack Speed by 40%. Moves behind nearest enemy
Suonisio,quintessence,Legendary,Increases Skill Cooldown Speed by 80%. Creates explosion
Shadow Knights,quintessence,Legendary,Increases Physical Attack by 65%. Shadow cavalry charges grants HP barrier
Archdemon,quintessence,Legendary,Increases Max HP by 60. Shoots multiple spirit flames
Lyweasel,item,Common,Movement Speed +15%. Quickly teleports to front
Carleon Insignia,item,Common,Generates 30 Gold per Carleon item upon changing maps
Standard-issue Carleon Bow,item,Common,Increases Crit Rate by 6%
Standard-issue Carleon Sword,item,Common,Increases Physical Attack by 20%
Standard-issue Carleon Armor,item,Common,Decreases incoming damage by 15%
Ring of Wind,item,Common,Increases Attack Speed by 15% and Movement Speed by 10%
Discolored Dark Quartz Shard,item,Common,Increases HP by 40
Hate Stone,item,Common,Increases Magic Attack by 55% for 3 seconds when hit
Knight's Determination,item,Common,Decreases incoming damage by 30% when HP is 30% or less
Explosive Ointment,item,Common,When hit creates an explosion dealing Physical Damage
Bottled Embers,item,Common,Attacks create 10% chance of burning enemies
Draft Stone,item,Common,Increases Skeleton Soldier's Attack by 30%
Eleventh Finger of Lightning,item,Rare,Randomly drops lightning every 8 seconds
Water Spirit Undine,item,Rare,Spirit follows attacking every 3 seconds with freeze chance
Execution Axe,item,Rare,Increases Physical Attack by 35% increases Power Skull Max HP
Bone of Swiftness,item,Rare,2 Speed Skulls increase Attack Speed by 20%
Thorny Pauldrons,item,Rare,Increases Dash Damages by 100% decreases damage by 10%
Thorny Boots,item,Rare,Increases Physical Attack by 20%. Inflicts damage on landing
Brawler's Knuckle,item,Rare,Increases Physical Attack by 20% and Crit Rate by 7%
Emergency Bomb,item,Rare,Increases Physical Attack by 20%. Drops bomb on double-jump
Bone Hourglass,item,Rare,Decreases swap cooldown by 0.5 seconds per skill use
Grudge Stone,item,Rare,Increases Max HP by 30. Kill explosion chance
Assassin Dagger,item,Rare,Increases Crit Rate by 10% affects Speed Skulls
Hidden Dagger,item,Rare,Increases Crit Rate by 7%. Throws dagger while dashing
Ritual Staff,item,Rare,Increases Magic Attack by 50% affects Balance Skulls
Berserker's Gauntlet,item,Rare,Increases Attack Speed up to 60% based on HP loss
Gold Incense Burner,item,Rare,Increases Gold gain by 10% Max HP by 25
Rake of Fury,item,Rare,Increases Attack Speed by 55% for 3 seconds per kill
Clown's Surprise Box,item,Rare,Throws jack-in-the-boxes on swap
Magic Mirror,item,Rare,Decreases damage by 10%. Swap stuns enemies
Vampire Fang,item,Rare,Restores 1 HP every 3 kills
