id,type,key,name_key,desc_key,threshold_1,threshold_2,threshold_3,effect_1,effect_2,effect_3
# 직업 시너지 (Class) — 효과 페이로드는 미정 (TBD)
class_knight,CLASS,KNIGHT,CLASS_KNIGHT,CLASS_KNIGHT_DESC,2,4,,,,
class_warrior,CLASS,WARRIOR,CLASS_WARRIOR,CLASS_WARRIOR_DESC,2,4,6,,,
class_spearman,CLASS,SPEARMAN,CLASS_SPEARMAN,CLASS_SPEARMAN_DESC,2,3,,,,
class_rider,CLASS,RIDER,CLASS_RIDER,CLASS_RIDER_DESC,2,3,,,,
class_archer,CLASS,ARCHER,CLASS_ARCHER,CLASS_ARCHER_DESC,2,4,,,,
class_assassin,CLASS,ASSASSIN,CLASS_ASSASSIN,CLASS_ASSASSIN_DESC,2,,,,,
class_mage,CLASS,MAGE,CLASS_MAGE,CLASS_MAGE_DESC,2,4,,,,
class_priest,CLASS,PRIEST,CLASS_PRIEST,CLASS_PRIEST_DESC,2,4,,,,
class_general,CLASS,GENERAL,CLASS_GENERAL,CLASS_GENERAL_DESC,2,4,5,,,
# 종족 시너지 (Race) — 효과 페이로드는 미정 (TBD). HUMANS/BEASTMEN/DARK_ELVES의 9단계는 카드풀 외 별도 획득 필요.
race_humans,RACE,HUMANS,RACE_HUMANS,RACE_HUMANS_DESC,3,6,9,,,
race_vikings,RACE,VIKINGS,RACE_VIKINGS,RACE_VIKINGS_DESC,2,4,6,,,
race_beastmen,RACE,BEASTMEN,RACE_BEASTMEN,RACE_BEASTMEN_DESC,3,6,9,,,
race_order_of_the_fire,RACE,ORDER_OF_THE_FIRE,RACE_ORDER_OF_THE_FIRE,RACE_ORDER_OF_THE_FIRE_DESC,2,3,5,,,
race_dark_elves,RACE,DARK_ELVES,RACE_DARK_ELVES,RACE_DARK_ELVES_DESC,3,6,9,,,
